side,target_atr,stop_atr,target_ticks,stop_ticks,horizon,n,ties,tie_rate,target_first,stop_first,unresolved,gap_ns_median
1,2.0,0.75,50.93854560032279,19.101954600121047,30,128,1,0.0078125,1,0,0,51830035268.0
1,2.0,0.75,50.93854560032279,19.101954600121047,60,128,1,0.0078125,1,0,0,51830035268.0
1,2.0,1.0,50.93854560032279,25.469272800161395,15,128,1,0.0078125,1,0,0,54045107400.0
1,2.0,1.0,50.93854560032279,25.469272800161395,30,128,1,0.0078125,1,0,0,54045107400.0
1,2.0,1.0,50.93854560032279,25.469272800161395,60,128,1,0.0078125,1,0,0,54045107400.0
1,2.0,1.5,50.93854560032279,38.203909200242094,15,128,0,0.0,0,0,0,
1,2.0,1.5,50.93854560032279,38.203909200242094,30,128,0,0.0,0,0,0,
1,2.0,1.5,50.93854560032279,38.203909200242094,60,128,0,0.0,0,0,0,
1,3.0,0.5,76.40781840048419,12.734636400080698,15,128,1,0.0078125,0,1,0,108060070680.0
1,3.0,0.5,76.40781840048419,12.734636400080698,30,128,1,0.0078125,0,1,0,108060070680.0
1,3.0,0.5,76.40781840048419,12.734636400080698,60,128,1,0.0078125,0,1,0,108060070680.0
1,3.0,0.75,76.40781840048419,19.101954600121047,15,128,0,0.0,0,0,0,
1,3.0,0.75,76.40781840048419,19.101954600121047,30,128,0,0.0,0,0,0,
1,3.0,0.75,76.40781840048419,19.101954600121047,60,128,0,0.0,0,0,0,
1,3.0,1.0,76.40781840048419,25.469272800161395,15,128,0,0.0,0,0,0,
1,3.0,1.0,76.40781840048419,25.469272800161395,30,128,0,0.0,0,0,0,
1,3.0,1.0,76.40781840048419,25.469272800161395,60,128,0,0.0,0,0,0,
1,3.0,1.5,76.40781840048419,38.203909200242094,15,128,0,0.0,0,0,0,
1,3.0,1.5,76.40781840048419,38.203909200242094,30,128,0,0.0,0,0,0,
1,3.0,1.5,76.40781840048419,38.203909200242094,60,128,0,0.0,0,0,0,
1,4.0,0.5,101.87709120064558,12.734636400080698,15,128,0,0.0,0,0,0,
1,4.0,0.5,101.87709120064558,12.734636400080698,30,128,0,0.0,0,0,0,
