bucket,vol_state,side,target_atr,stop_atr,horizon,n,target,stop,target_max,stop_min,open_pnl,cost_atr,p_target,p_target_max,p_stop,p_neither,ev_barrier,ev_open,ev_lo,ev_hi,cost,p_null,ev_null,ev_delta,lift,mde,thin,beats_mde,passes,undecided,ev_mirror,ev_sym
"(10.0, 14.0]",CONTRACTING,1,4.0,0.5,30,1665,23,1103,23,1103,597.5538767467085,63.50327803363372,0.013813813813813814,0.013813813813813814,0.6624624624624624,0.3237237237237237,-0.27597597597597595,0.3588912172652904,0.044775134362207085,0.04477513436220708,0.03814010692710734,0.012972841901066925,-0.028102487235746945,0.07287762159795402,0.0008409719127468896,0.02139244665842341,False,False,False,False,-0.0423737399438981,0.001200697209154493
"(14.0, inf]",CONTRACTING,-1,2.0,1.0,15,858,95,239,95,239,109.1461319808093,22.028981079620134,0.11072261072261072,0.11072261072261072,0.27855477855477856,0.6107226107226107,-0.05710955710955711,0.12720994403357727,0.04442558380091977,0.04442558380091978,0.02567480312310039,0.08666430845419172,-0.03095481978186546,0.07538040358278524,0.024058302268419,0.11464342664766773,False,False,False,False,-0.06554432682248153,-0.010559371510780877
"(14.0, inf]",EXPANDING,1,3.0,0.5,60,2541,192,1873,192,1873,532.7132413276523,60.8751728936191,0.0755608028335301,0.0755608028335301,0.7371113734750099,0.18732782369146006,-0.1418732782369146,0.2096470843477577,0.0438166345667191,0.043816634566719095,0.023957171544124006,0.06812912430889959,0.005353358585938059,0.038463275980781045,0.007431678524630517,0.0825200689168421,False,False,False,False,-0.062336274483993696,-0.009259819958637297
"(10.0, 14.0]",CONTRACTING,1,4.0,1.0,15,1678,4,450,4,450,570.741651166037,63.97784355817555,0.0023837902264600714,0.0023837902264600714,0.26817640047675806,0.7294398092967819,-0.2586412395709178,0.3401320924708206,0.043363413353910245,0.04336341335391024,0.038127439545992584,0.004586602293301147,-0.014489253463595865,0.05785266681750611,-0.0022028120668410754,0.009848428498843629,False,False,False,False,-0.10819932955189843,-0.03241795809899409
"(10.0, 14.0]",CONTRACTING,1,3.0,1.0,15,1678,17,450,17,450,535.3306699442952,63.97784355817555,0.010131108462455305,0.010131108462455305,0.26817640047675806,0.7216924910607866,-0.23778307508939214,0.31902900473438334,0.0431184900989986,0.043118490098998596,0.038127439545992584,0.012552806276403138,-0.015579292248918183,0.05869778234791678,-0.002421697813947833,0.020812812398674677,False,False,False,False,-0.10498980080526019,-0.03093565535313079
"(14.0, inf]",CONTRACTING,-1,3.0,1.5,15,858,23,112,23,112,157.91091470372166,22.028981079620134,0.026806526806526808,0.026806526806526808,0.13053613053613053,0.8426573426573426,-0.11538461538461539,0.18404535513254272,0.04298593662482695,0.042985936624826956,0.02567480312310039,0.02794481782808631,-0.03232810586417583,0.07531404248900278,-0.0011382910215595038,0.044924510202262166,False,False,False,False,-0.10003967209886115,-0.0285268677370171
"(14.0, inf]",EXPANDING,1,2.0,1.5,30,2551,401,698,402,697,415.4184498178138,61.10121343036764,0.15719325754606037,0.15758526068208545,0.27361818894551154,0.569188553508428,-0.09604076832614661,0.16284533509126373,0.04285269948547477,0.04422471046156258,0.023951867279642353,0.15287865367581932,0.01930365222575,0.023549047259724773,0.004314603870241046,0.17314858668380265,False,False,False,False,-0.0763859722275471,-0.016766636371036165
"(14.0, inf]",CONTRACTING,-1,4.0,0.5,30,855,24,589,24,589,256.23831345517954,21.95308796592333,0.028070175438596492,0.028070175438596492,0.6888888888888889,0.28304093567251465,-0.2321637426900585,0.2996939338657071,0.04185406489971486,0.04185406489971486,0.02567612627593372,0.021434898139946857,-0.04631669195843812,0.08817075685815298,0.006635277298649635,0.03654344659075988,False,False,False,False,-0.08230095261735816,-0.02022344385882165
"(10.0, 14.0]",CONTRACTING,1,3.0,0.75,30,1665,64,880,64,880,601.0106415930977,63.50327803363372,0.03843843843843844,0.03843843843843844,0.5285285285285285,0.4330330330330331,-0.2810810810810811,0.3609673523081668,0.04174616429997838,0.04174616429997838,0.03814010692710734,0.04340446168768186,-0.021355572222087747,0.06310173652206613,-0.0049660232492434245,0.05801363676825141,False,False,False,False,-0.07580826799641176,-0.01703105184821669
"(14.0, inf]",CONTRACTING,-1,4.0,1.0,15,858,5,240,5,240,277.80086924623413,22.028981079620134,0.005827505827505828,0.005827505827505828,0.27972027972027974,0.7144522144522145,-0.2564102564102564,0.3237772368837228,0.041692177350365955,0.04169217735036597,0.02567480312310039,0.004952246197382384,-0.037994046736287465,0.07968622408665342,0.0008752596301234436,0.012890393686860978,False,False,False,False,-0.07203374030302327,-0.015170781476328658
"(14.0, inf]",CONTRACTING,-1,2.0,1.5,15,858,96,111,96,111,31.951071171527694,22.028981079620134,0.11188811188811189,0.11188811188811189,0.12937062937062938,0.7587412587412588,0.02972027972027972,0.037239010689426214,0.04128448728660555,0.04128448728660555,0.02567480312310039,0.08949416342412451,-0.03508420746938094,0.0763686947559865,0.022393948463987373,0.11785912706830542,False,False,False,False,-0.09143471276648779,-0.02507511273994112
"(14.0, inf]",EXPANDING,1,1.0,1.5,60,2541,1406,798,1413,791,-46.157349985712465,60.8751728936191,0.5533254624163715,0.5560802833530106,0.3140495867768595,0.132624950806769,0.08225108225108226,-0.018165033445774286,0.04012887726118396,0.04701592960278175,0.023957171544124006,0.5500267522739433,0.03163880763491074,0.008490069626273217,0.0032987101424282184,0.5776169098326834,False,False,False,False,-0.0849342950406988,-0.02240270888975742
"(14.0, inf]",EXPANDING,1,2.0,0.5,60,2541,430,1833,433,1830,218.691607967719,60.8751728936191,0.16922471467926015,0.17040535222353403,0.7213695395513577,0.10940574576938211,-0.0222353404171586,0.08606517432810665,0.039872662366824047,0.04282425622750881,0.023957171544124006,0.16693418940609953,0.02003273725683186,0.019839925109992187,0.0022905252731606207,0.18795663673882762,False,False,False,False,-0.0641235831386743,-0.01212546038592513
