bucket,phase,side,target_atr,stop_atr,horizon,n,target,stop,target_max,stop_min,open_pnl,cost_atr,p_target,p_target_max,p_stop,p_neither,ev_barrier,ev_open,ev_lo,ev_hi,cost,p_null,lift,mde,thin,beats_mde,passes,undecided,ev_mirror,ev_sym
"(10.0, 14.0]",London-NY,-1,4.0,0.75,60,2347,311,1812,311,1812,286.0095326888705,74.04473215694073,0.13250958670643376,0.13250958670643376,0.772049424797614,0.09544098849595228,-0.0489987217724755,0.12186175231737131,0.041314358982500965,0.041314358982500965,0.03154867156239485,0.07026271430333429,0.062246872403099465,0.08545974874436936,False,True,True,False,-0.11462020103226145,-0.03665292102488024
"(10.0, 14.0]",Asia-London,1,0.75,1.5,30,1271,792,296,794,294,-59.650028995374996,38.445759606384954,0.6231313926042487,0.6247049567269867,0.23288749016522423,0.14398111723052712,0.11801730920535011,-0.04693157277370181,0.040837302437639694,0.0443778217138002,0.030248433994008617,0.5705245223317512,0.05260687027249744,0.6092561887070702,False,True,True,False,-0.07435370566952877,-0.01675820161594454
"(14.0, inf]",NY-Asia,1,3.0,1.0,60,1926,238,1039,239,1038,435.4087649701401,32.35364231095475,0.12357217030114226,0.1240913811007269,0.539460020768432,0.33696780893042566,-0.1687435098650052,0.2260689330063033,0.040527062647552126,0.04260390584589064,0.016798360493745973,0.10403066646424776,0.0195415038368945,0.12398560085741755,False,False,False,False,-0.018456621528323336,0.011035220559614395
"(10.0, 14.0]",London-NY,-1,1.5,1.0,60,2347,1001,1335,1020,1316,1.830743547303244,74.04473215694073,0.42650191734128673,0.4345973583297827,0.5688112484022156,0.0046868342564976295,0.07094162760971454,0.0007800355974875347,0.04017299164480721,0.0604115941160471,0.03154867156239485,0.3688278584056243,0.05767405893566241,0.39684708882948866,False,True,True,False,-0.1056792242679435,-0.032753116311568145
"(14.0, inf]",Asia-London,1,2.0,1.0,60,1011,263,563,266,560,95.92378252587358,18.70284410406137,0.26013847675568746,0.26310583580613256,0.5568743818001978,0.18298714144411476,-0.036597428288822946,0.09488010141035962,0.03978332188111988,0.04868539903245521,0.018499351240416784,0.22923941096098377,0.030899065794703695,0.2668577703340039,False,False,False,False,-0.07249690857821108,-0.016356793348545597
"(10.0, 14.0]",Asia-London,1,1.0,1.5,15,1271,442,175,442,175,-90.50572429097934,38.445759606384954,0.34775767112509837,0.34775767112509837,0.13768686073957515,0.5145554681353265,0.14122738001573565,-0.07120828032335118,0.039770665698375854,0.039770665698375854,0.030248433994008617,0.32192996611263514,0.02582770501246323,0.3589398865953007,False,False,False,False,-0.05348890168142276,-0.0068591179915234515
"(7.0, 10.0]",NY-Asia,-1,3.0,0.75,60,3217,430,2162,431,2161,600.7750843791052,141.66023276278702,0.1336649051911719,0.13397575380789556,0.6720547093565433,0.19428038545228477,-0.10304631644389182,0.18675010394128233,0.03966890009832709,0.04083458241104079,0.044034887399063416,0.1351845754216515,-0.0015196702304795806,0.1523320756076033,False,False,False,False,-0.027449290181310787,0.006109804958508151
"(7.0, 10.0]",NY-Asia,-1,2.0,1.5,60,3217,972,1276,974,1274,238.8863277161037,141.66023276278702,0.3021448554553932,0.30276655268884056,0.3966428349393845,0.30121230960522233,0.009325458501709667,0.0742574845247447,0.03954805562739096,0.04172399594445653,0.044034887399063416,0.3291991365748363,-0.02705428111944308,0.352526954749425,False,False,False,False,-0.1122818823757255,-0.036366913374167274
"(7.0, 10.0]",London-NY,1,4.0,1.0,30,1712,106,1024,110,1020,745.5375018284963,78.41706703759255,0.06191588785046729,0.06425233644859812,0.5981308411214953,0.3399532710280374,-0.35046728971962615,0.4354775127502899,0.039205861443284924,0.05088810443393909,0.04580436158737882,0.02658984361020649,0.0353260442402608,0.038104874580102796,False,True,True,False,-0.07432329070859622,-0.01755871463265565
"(0.0, 7.0]",London-NY,-1,4.0,1.0,15,491,25,236,25,236,188.2414768320128,33.53844112206749,0.05091649694501019,0.05091649694501019,0.48065173116089616,0.46843177189409363,-0.2769857433808554,0.3833838632016554,0.03809172242351387,0.038091722423513885,0.06830639739728613,0.011305704872550719,0.03961079207245947,0.0267902543224995,False,True,True,False,-0.16500220205249533,-0.06345523981449072
"(0.0, 7.0]",Asia-London,1,4.0,0.5,60,1173,102,967,102,967,207.93566201795863,88.26334477646203,0.08695652173913043,0.08695652173913043,0.824381926683717,0.08866155157715261,-0.06436487638533675,0.17726825406475588,0.03765755945566633,0.03765755945566633,0.0752458182237528,0.06660210087163823,0.0203544208674922,0.0878258685648286,False,False,False,False,-0.10989839564968805,-0.03612041809701086
"(14.0, inf]",Asia-London,1,1.5,1.0,60,1011,373,533,379,527,29.585180724609714,18.70284410406137,0.36894164193867457,0.37487636003956476,0.5272007912957468,0.10385756676557856,0.026211671612265085,0.02926328459407489,0.0369756049659232,0.051812400218148716,0.018499351240416784,0.33387733414300896,0.035064307795665606,0.3757667788777285,False,False,False,False,-0.07730961830945683,-0.020167006671766817
"(10.0, 14.0]",Asia-London,1,1.5,1.5,30,1271,393,355,393,355,28.37907594782827,38.445759606384954,0.3092053501180173,0.3092053501180173,0.27930763178599527,0.4114870180959874,0.044846577498033044,0.022328147873979756,0.036926291378004183,0.036926291378004183,0.030248433994008617,0.28153016104823336,0.027675189069783945,0.3172423247223728,False,False,False,False,-0.09742315936602142,-0.030248433994008617
"(10.0, 14.0]",Asia,-1,2.0,1.5,60,7727,2505,3244,2505,3244,368.04665856353245,229.06992178025365,0.32418791251455936,0.32418791251455936,0.4198265821146629,0.25598550537077774,0.01863595185712437,0.04763124868170473,0.03662181141235651,0.03662181141235652,0.029645389126472584,0.3201085392426921,0.004079373271867248,0.335029520135741,False,False,False,False,-0.06811394719611838,-0.015746067891880936
