price,buy_vol,sell_vol,delta,total_vol
4025.6,23,26,-3,49
4025.5,22,19,3,41
4025.4,227,31,196,258
4025.3,19,23,-4,42
4025.2,18,25,-7,43
4025.1,18,23,-5,41
4025.0,38,53,-15,91
4024.9,15,21,-6,36
4024.8,14,18,-4,32
4024.7,11,32,-21,43
4024.6,20,22,-2,42
4024.5,8,14,-6,22
4024.4,19,16,3,35
4024.3,10,4,6,14
4024.2,10,5,5,15
4024.1,60,12,48,72
4024.0,31,16,15,47
4023.9,15,19,-4,34
4023.8,11,21,-10,32
4023.7,14,18,-4,32
4023.6,24,17,7,41
4023.5,20,16,4,36
4023.4,17,17,0,34
4023.3,23,7,16,30
4023.2,57,17,40,74
4023.1,54,36,18,90
4023.0,41,18,23,59
4022.9,25,14,11,39
4022.8,18,34,-16,52
4022.7,10,49,-39,59
4022.6,23,23,0,46
4022.5,21,42,-21,63
4022.4,10,47,-37,57
4022.3,9,17,-8,26
4022.2,16,22,-6,38
4022.1,31,24,7,55
4022.0,18,41,-23,59
4021.9,56,32,24,88
4021.8,29,34,-5,63
4021.7,22,13,9,35
4021.6,27,27,0,54
4021.5,30,23,7,53
4021.4,33,17,16,50
4021.3,35,19,16,54
4021.2,28,69,-41,97
4021.1,20,141,-121,161
4021.0,75,82,-7,157
4020.9,25,26,-1,51
4020.8,33,42,-9,75
4020.7,26,29,-3,55
4020.6,25,23,2,48
4020.5,30,58,-28,88
4020.4,38,27,11,65
4020.3,35,39,-4,74
4020.2,31,55,-24,86
4020.1,247,35,212,282
4020.0,125,89,36,214
4019.9,84,36,48,120
4019.8,40,36,4,76
4019.7,42,39,3,81
4019.6,36,31,5,67
4019.5,23,26,-3,49
4019.4,35,19,16,54
4019.3,9,15,-6,24
4019.2,16,23,-7,39
4019.1,29,23,6,52
4019.0,50,18,32,68
4018.9,18,31,-13,49
4018.8,23,24,-1,47
4018.7,20,26,-6,46
4018.6,13,50,-37,63
4018.5,38,28,10,66
4018.4,23,27,-4,50
4018.3,83,37,46,120
4018.2,42,47,-5,89
4018.1,43,26,17,69
4018.0,56,68,-12,124
4017.9,25,42,-17,67
4017.8,42,43,-1,85
4017.7,26,43,-17,69
4017.6,71,68,3,139
4017.5,76,41,35,117
4017.4,40,34,6,74
4017.3,35,40,-5,75
4017.2,34,49,-15,83
4017.1,43,52,-9,95
4017.0,75,53,22,128
4016.9,25,37,-12,62
4016.8,31,52,-21,83
4016.7,18,44,-26,62
4016.6,35,39,-4,74
4016.5,27,37,-10,64
4016.4,31,38,-7,69
4016.3,44,45,-1,89
4016.2,35,48,-13,83
4016.1,24,39,-15,63
4016.0,84,52,32,136
4015.9,34,23,11,57
4015.8,31,39,-8,70
4015.7,27,46,-19,73
4015.6,33,43,-10,76
4015.5,30,39,-9,69
4015.4,36,16,20,52
4015.3,29,47,-18,76
4015.2,25,29,-4,54
4015.1,35,47,-12,82
4015.0,106,75,31,181
4014.9,38,23,15,61
4014.8,16,51,-35,67
4014.7,74,53,21,127
4014.6,47,37,10,84
4014.5,26,35,-9,61
4014.4,28,31,-3,59
4014.3,46,24,22,70
4014.2,30,32,-2,62
4014.1,37,28,9,65
4014.0,39,59,-20,98
4013.9,16,37,-21,53
4013.8,28,30,-2,58
4013.7,44,30,14,74
4013.6,35,31,4,66
4013.5,34,46,-12,80
4013.4,32,61,-29,93
4013.3,37,24,13,61
4013.2,30,43,-13,73
4013.1,38,33,5,71
4013.0,91,37,54,128
4012.9,40,30,10,70
4012.8,31,45,-14,76
4012.7,26,25,1,51
4012.6,98,23,75,121
4012.5,20,24,-4,44
4012.4,33,22,11,55
4012.3,36,45,-9,81
4012.2,19,28,-9,47
4012.1,23,22,1,45
4012.0,101,59,42,160
4011.9,34,17,17,51
4011.8,32,31,1,63
4011.7,33,35,-2,68
4011.6,28,22,6,50
4011.5,42,32,10,74
4011.4,73,41,32,114
4011.3,29,27,2,56
4011.2,58,70,-12,128
4011.1,25,129,-104,154
4011.0,55,77,-22,132
4010.9,28,24,4,52
4010.8,31,31,0,62
4010.7,15,30,-15,45
4010.6,15,18,-3,33
4010.5,16,26,-10,42
4010.4,25,11,14,36
4010.3,45,20,25,65
4010.2,20,6,14,26
4010.1,20,12,8,32
4010.0,90,43,47,133
4009.9,53,22,31,75
4009.8,76,32,44,108
4009.7,52,29,23,81
4009.6,47,46,1,93
4009.5,26,32,-6,58
4009.4,41,27,14,68
4009.3,42,38,4,80
4009.2,45,24,21,69
4009.1,31,34,-3,65
4009.0,81,88,-7,169
4008.9,66,51,15,117
4008.8,69,49,20,118
4008.7,43,45,-2,88
4008.6,54,43,11,97
4008.5,79,94,-15,173
4008.4,93,58,35,151
4008.3,80,50,30,130
4008.2,85,154,-69,239
4008.1,122,190,-68,312
4008.0,131,158,-27,289
4007.9,76,60,16,136
4007.8,125,57,68,182
4007.7,84,77,7,161
4007.6,95,74,21,169
4007.5,139,109,30,248
4007.4,81,65,16,146
4007.3,93,96,-3,189
4007.2,80,81,-1,161
4007.1,60,66,-6,126
4007.0,87,115,-28,202
4006.9,66,74,-8,140
4006.8,66,45,21,111
4006.7,68,51,17,119
4006.6,71,52,19,123
4006.5,102,69,33,171
4006.4,83,59,24,142
4006.3,125,97,28,222
4006.2,64,65,-1,129
4006.1,123,60,63,183
4006.0,150,141,9,291
