month,bucket,phase,vol_state,side,target_atr,stop_atr,target_ticks,stop_ticks,horizon,n,ties,tie_rate,target_first,stop_first,unresolved,gap_ns_median
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,0.75,0.5,9.855048230905748,6.570032153937165,30,399,29,0.07268170426065163,12,17,0,168557223750.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,0.75,0.5,9.855048230905748,6.570032153937165,60,399,29,0.07268170426065163,12,17,0,168557223750.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,0.75,0.75,9.855048230905748,9.855048230905748,15,399,14,0.03508771929824561,8,6,0,159461046866.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,0.75,0.75,9.855048230905748,9.855048230905748,30,399,16,0.040100250626566414,10,6,0,159461046866.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,0.75,0.75,9.855048230905748,9.855048230905748,60,399,16,0.040100250626566414,10,6,0,159461046866.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,0.75,1.0,9.855048230905748,13.14006430787433,15,399,9,0.022556390977443608,5,4,0,168355526342.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,0.75,1.0,9.855048230905748,13.14006430787433,30,399,10,0.02506265664160401,6,4,0,159359436568.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,0.75,1.0,9.855048230905748,13.14006430787433,60,399,10,0.02506265664160401,6,4,0,159359436568.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,0.75,1.5,9.855048230905748,19.710096461811496,15,399,1,0.002506265664160401,0,1,0,149554952844.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,0.75,1.5,9.855048230905748,19.710096461811496,30,399,2,0.005012531328320802,1,1,0,120626049815.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,0.75,1.5,9.855048230905748,19.710096461811496,60,399,2,0.005012531328320802,1,1,0,120626049815.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.0,0.5,13.14006430787433,6.570032153937165,15,399,10,0.02506265664160401,5,5,0,182665143010.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.0,0.5,13.14006430787433,6.570032153937165,30,399,12,0.03007518796992481,7,5,0,178064721233.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.0,0.5,13.14006430787433,6.570032153937165,60,399,12,0.03007518796992481,7,5,0,178064721233.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.0,0.75,13.14006430787433,9.855048230905748,15,399,6,0.015037593984962405,2,4,0,165675434419.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.0,0.75,13.14006430787433,9.855048230905748,30,399,9,0.022556390977443608,5,4,0,140961848588.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.0,0.75,13.14006430787433,9.855048230905748,60,399,9,0.022556390977443608,5,4,0,140961848588.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.0,1.0,13.14006430787433,13.14006430787433,15,399,4,0.010025062656641603,3,1,0,94618742407.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.0,1.0,13.14006430787433,13.14006430787433,30,399,6,0.015037593984962405,5,1,0,98575322974.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.0,1.0,13.14006430787433,13.14006430787433,60,399,6,0.015037593984962405,5,1,0,98575322974.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.0,1.5,13.14006430787433,19.710096461811496,15,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.0,1.5,13.14006430787433,19.710096461811496,30,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.0,1.5,13.14006430787433,19.710096461811496,60,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.5,0.5,19.710096461811496,6.570032153937165,15,399,1,0.002506265664160401,1,0,0,283829787504.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.5,0.5,19.710096461811496,6.570032153937165,30,399,2,0.005012531328320802,2,0,0,183106382187.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.5,0.5,19.710096461811496,6.570032153937165,60,399,2,0.005012531328320802,2,0,0,183106382187.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.5,0.75,19.710096461811496,9.855048230905748,15,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.5,0.75,19.710096461811496,9.855048230905748,30,399,1,0.002506265664160401,1,0,0,88458783150.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.5,0.75,19.710096461811496,9.855048230905748,60,399,1,0.002506265664160401,1,0,0,88458783150.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.5,1.0,19.710096461811496,13.14006430787433,15,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.5,1.0,19.710096461811496,13.14006430787433,30,399,1,0.002506265664160401,1,0,0,88486840928.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.5,1.0,19.710096461811496,13.14006430787433,60,399,1,0.002506265664160401,1,0,0,88486840928.0
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.5,1.5,19.710096461811496,19.710096461811496,15,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.5,1.5,19.710096461811496,19.710096461811496,30,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,1.5,1.5,19.710096461811496,19.710096461811496,60,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,2.0,0.5,26.28012861574866,6.570032153937165,15,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,2.0,0.5,26.28012861574866,6.570032153937165,30,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,2.0,0.5,26.28012861574866,6.570032153937165,60,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,2.0,0.75,26.28012861574866,9.855048230905748,15,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,2.0,0.75,26.28012861574866,9.855048230905748,30,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,2.0,0.75,26.28012861574866,9.855048230905748,60,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,2.0,1.0,26.28012861574866,13.14006430787433,15,399,0,0.0,0,0,0,
