instrument,bucket,phase,vol_state,side,target_atr,stop_atr,horizon,n,target,stop,target_max,stop_min,open_pnl,cost_atr,p_target,p_target_max,p_stop,p_neither,ev_barrier,ev_open,ev_lo,ev_hi,cost,p_null,ev_null,ev_delta,lift,mde,thin,beats_mde,passes,undecided,ev_mirror,ev_sym
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,1.5,1.5,60,118,74,39,75,38,-0.7541913382224823,1.9944262608986256,0.6271186440677966,0.635593220338983,0.3305084745762712,0.0423728813559322,0.4449152542372881,-0.006391452018834596,0.42162188475321094,0.44704561356677025,0.01690191746524259,0.3928984639936166,-0.03741234438491835,0.4590342291381293,0.23422018007418,0.5197277424872582,True,True,False,False,-0.48084944849725547,-0.029613781872022266
GC,"(0.0, 7.0]",Asia-London,CONTRACTING,-1,2.0,1.5,30,107,42,30,42,30,12.639595750102544,7.1571529313375715,0.3925233644859813,0.3925233644859813,0.2803738317757009,0.32710280373831774,0.3644859813084112,0.1181270630850705,0.4157237646613549,0.4157237646613549,0.06688927973212684,0.22641437454698052,-0.07295137233078679,0.4886751369921417,0.16610898993900078,0.344372917655676,True,True,False,False,-0.4314059624425413,-0.007841098890593201
GC,"(0.0, 7.0]",London-NY,EXPANDING,1,4.0,1.5,60,143,41,81,41,81,26.26092055664379,9.545462320908364,0.2867132867132867,0.2867132867132867,0.5664335664335665,0.14685314685314688,0.2972027972027972,0.18364280109541112,0.4140941135366113,0.4140941135366113,0.06675148476159695,0.11221386265407396,-0.053002763133170344,0.4670968766697816,0.17449942405921276,0.19164694611406996,True,True,False,False,-0.09385444113072892,0.16011983620294118
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,1.5,1.5,30,118,62,31,63,30,4.243850270584673,1.9944262608986256,0.5254237288135594,0.5338983050847458,0.2627118644067797,0.21186440677966095,0.3940677966101695,0.035964832801565025,0.4131307119464919,0.43855444076005123,0.01690191746524259,0.2946252659784065,-0.028446422765330995,0.4415771347118229,0.23079846283515287,0.4150539084628621,True,True,False,False,-0.47235827569053646,-0.029613781872022266
GC,"(0.0, 7.0]",Asia-London,CONTRACTING,-1,2.0,0.75,60,107,47,59,48,58,0.7873523088166872,7.1571529313375715,0.4392523364485981,0.4485981308411215,0.5514018691588785,0.009345794392523477,0.4649532710280374,0.00735843279267932,0.40542242408858986,0.43112335866802914,0.06688927973212684,0.25572274691852087,-0.05892104118666758,0.46434346527525744,0.18352958953007725,0.37783348714811577,True,True,False,False,-0.20871709934806643,0.09835266237026172
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,3.0,1.5,15,118,12,25,12,25,50.21425484835536,1.9944262608986256,0.1016949152542373,0.1016949152542373,0.211864406779661,0.6864406779661018,-0.012711864406779662,0.42554453261318104,0.39593075074115874,0.39593075074115874,0.01690191746524259,0.03859731701576841,-0.01443325620472796,0.4103640069458867,0.06309759823846889,0.09619935730823088,True,True,False,False,-0.37414539559246,0.010892677574349363
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,1.5,1.0,60,118,66,50,69,47,-0.5656069386592453,1.9944262608986256,0.559322033898305,0.5847457627118644,0.423728813559322,0.016949152542372947,0.4152542372881356,-0.004793279141180044,0.39355904068171293,0.45711836271561124,0.01690191746524259,0.3402353879912228,-0.0420244984955657,0.43558353917727866,0.2190866459070822,0.46436088188368574,True,True,False,False,-0.34295133800657823,0.02530385133756735
GC,"(0.0, 7.0]",NY,EXPANDING,1,2.0,0.75,60,29,12,16,12,16,1.0366492146597233,1.7416956418880458,0.41379310344827586,0.41379310344827586,0.5517241379310345,0.034482758620689724,0.41379310344827586,0.035746524643438735,0.38948115768178204,0.389481157681782,0.06005847040993261,0.2530414599007524,-0.06824205476842037,0.4577232124502024,0.16075164354752347,0.48939802715909264,True,False,False,False,0.06427185416368134,0.22687650592273167
GC,"(0.0, 7.0]",London-NY,EXPANDING,1,4.0,1.0,60,143,35,93,35,93,17.938505762340508,9.545462320908364,0.24475524475524477,0.24475524475524477,0.6503496503496503,0.1048951048951049,0.32867132867132864,0.1254440962401434,0.3873639401498752,0.3873639401498752,0.06675148476159695,0.09780694733472066,-0.04743465241234683,0.43479859256222203,0.14694829742052412,0.17312258801483893,True,True,False,False,0.057599062296741596,0.2224815012233084
GC,"(0.0, 7.0]",Asia-London,CONTRACTING,-1,4.0,1.0,30,107,10,49,10,49,57.19161420520246,7.1571529313375715,0.09345794392523364,0.09345794392523364,0.45794392523364486,0.4485981308411215,-0.08411214953271028,0.5345010673383408,0.3834996380735037,0.3834996380735037,0.06688927973212684,0.03769122191279136,-0.06809450341662467,0.45159414149012833,0.05576672201244228,0.09796300351345953,True,False,False,False,-0.4432563398115283,-0.029878350869012305
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,4.0,1.5,15,118,3,25,3,25,72.72675887371926,1.9944262608986256,0.025423728813559324,0.025423728813559324,0.211864406779661,0.7627118644067796,-0.21610169491525424,0.6163284650315192,0.38332485265102234,0.38332485265102234,0.01690191746524259,0.018043461206558406,-0.015869306561220414,0.39919415921224277,0.007380267607000918,0.060536897687186,True,False,False,False,-0.33551940820032206,0.023902722225350143
